                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81054,                0.59065,                 1.0506,                0.42967,                0.82973,                0.58347,                0.44226,                0.94882,                 1.2173,                 1.1077,             0.00023334,             0.00023334,             0.00023334
                     36,                0.83626,                0.59634,                 1.0651,                0.42484,                0.87721,                0.54065,                0.40992,                0.94002,                 1.2773,                 1.0966,              0.0002192,              0.0002192,              0.0002192
                     37,                0.82349,                0.59926,                 1.0614,                0.44079,                0.85666,                0.55897,                0.42625,                0.93197,                 1.2446,                 1.0864,             0.00020506,             0.00020506,             0.00020506
                     38,                0.81099,                0.58104,                 1.0576,                0.43916,                0.87567,                0.55995,                0.42617,                0.93794,                 1.3074,                    1.1,             0.00019092,             0.00019092,             0.00019092
                     39,                0.80515,                0.57974,                 1.0551,                0.43914,                0.82293,                0.58124,                0.44036,                0.93678,                 1.2592,                 1.1013,             0.00017679,             0.00017679,             0.00017679
                     40,                0.78451,                0.57996,                 1.0375,                0.42225,                0.87531,                0.56943,                0.43309,                0.94489,                 1.2662,                 1.0976,             0.00016265,             0.00016265,             0.00016265
                     41,                0.74632,                0.48277,                 1.0142,                0.42689,                0.87154,                0.56025,                0.42518,                0.94224,                 1.3401,                 1.0979,             0.00014851,             0.00014851,             0.00014851
                     42,                0.72525,                0.46552,                0.99907,                0.42317,                0.86344,                0.53416,                0.40023,                0.95561,                 1.3045,                 1.1039,             0.00013437,             0.00013437,             0.00013437
                     43,                0.73281,                0.46161,                0.99125,                0.41576,                0.84757,                0.54183,                0.40954,                0.94678,                 1.3523,                 1.1008,             0.00012024,             0.00012024,             0.00012024
                     44,                0.71156,                0.45047,                0.99394,                0.42146,                0.86089,                0.55601,                0.42099,                0.93961,                 1.3512,                 1.0999,              0.0001061,              0.0001061,              0.0001061
                     45,                0.72126,                0.44832,                0.98612,                0.41993,                0.84784,                0.55891,                 0.4232,                0.94128,                 1.3157,                 1.1027,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.71907,                0.45183,                0.98377,                0.41977,                0.85181,                0.54112,                0.41067,                0.93368,                 1.3699,                 1.0985,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 0.7063,                0.43695,                0.98681,                0.41845,                0.83873,                0.53837,                0.40899,                0.93905,                 1.3794,                 1.0973,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 0.6994,                0.42756,                0.98819,                0.41511,                0.83436,                0.54709,                0.41647,                0.93891,                  1.385,                 1.0976,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.69411,                0.42899,                0.97858,                0.42194,                0.82908,                0.54479,                0.41551,                0.93256,                 1.4165,                 1.0971,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 0.6926,                0.42785,                0.97364,                0.41945,                0.82522,                0.53383,                0.40587,                0.93505,                  1.394,                 1.1008,             2.1277e-05,             2.1277e-05,             2.1277e-05
